ID,DATE,DAY,ID_WEEK_DAY,MONTH,ID_MONTH,YEAR,ID_QUARTER
199,2013-11-20,20,3,11,11,2013,4
200,2013-11-21,21,4,11,11,2013,4
201,2013-11-22,22,5,11,11,2013,4
202,2013-11-25,25,1,11,11,2013,4
203,2013-11-26,26,2,11,11,2013,4
204,2013-11-27,27,3,11,11,2013,4
205,2013-11-29,29,5,11,11,2013,4
206,2013-12-02,2,1,12,12,2013,4
207,2013-12-03,3,2,12,12,2013,4
208,2013-12-04,4,3,12,12,2013,4
209,2013-12-05,5,4,12,12,2013,4
210,2013-12-06,6,5,12,12,2013,4
211,2013-12-09,9,1,12,12,2013,4
212,2013-12-10,10,2,12,12,2013,4
213,2013-12-11,11,3,12,12,2013,4
214,2013-12-12,12,4,12,12,2013,4
215,2013-12-13,13,5,12,12,2013,4
216,2013-12-16,16,1,12,12,2013,4
217,2013-12-17,17,2,12,12,2013,4
218,2013-12-18,18,3,12,12,2013,4
219,2013-12-19,19,4,12,12,2013,4
220,2013-12-20,20,5,12,12,2013,4
221,2013-12-23,23,1,12,12,2013,4
222,2013-12-24,24,2,12,12,2013,4
223,2013-12-26,26,4,12,12,2013,4
224,2013-12-27,27,5,12,12,2013,4
225,2013-12-30,30,1,12,12,2013,4
226,2013-12-31,31,2,12,12,2013,4
227,2014-01-02,2,4,1,1,2014,1
228,2014-01-03,3,5,1,1,2014,1
229,2014-01-06,6,1,1,1,2014,1
230,2014-01-07,7,2,1,1,2014,1
231,2014-01-08,8,3,1,1,2014,1
232,2014-01-09,9,4,1,1,2014,1
233,2014-01-10,10,5,1,1,2014,1
234,2014-01-13,13,1,1,1,2014,1
235,2014-01-14,14,2,1,1,2014,1
236,2014-01-15,15,3,1,1,2014,1
237,2014-01-16,16,4,1,1,2014,1
238,2014-01-17,17,5,1,1,2014,1
239,2014-01-21,21,2,1,1,2014,1
240,2014-01-22,22,3,1,1,2014,1
241,2014-01-23,23,4,1,1,2014,1
242,2014-01-24,24,5,1,1,2014,1
243,2014-01-27,27,1,1,1,2014,1
244,2014-01-28,28,2,1,1,2014,1
245,2014-01-29,29,3,1,1,2014,1
246,2014-01-30,30,4,1,1,2014,1
247,2014-01-31,31,5,1,1,2014,1
248,2014-02-03,3,1,2,2,2014,1
249,2014-02-04,4,2,2,2,2014,1
250,2014-02-05,5,3,2,2,2014,1
251,2014-02-06,6,4,2,2,2014,1
252,2014-02-07,7,5,2,2,2014,1
253,2014-02-10,10,1,2,2,2014,1
254,2014-02-11,11,2,2,2,2014,1
255,2014-02-12,12,3,2,2,2014,1
256,2014-02-13,13,4,2,2,2014,1
257,2014-02-14,14,5,2,2,2014,1
258,2014-02-18,18,2,2,2,2014,1
259,2014-02-19,19,3,2,2,2014,1
260,2014-02-20,20,4,2,2,2014,1
261,2014-02-21,21,5,2,2,2014,1
262,2014-02-24,24,1,2,2,2014,1
263,2014-02-25,25,2,2,2,2014,1
264,2014-02-26,26,3,2,2,2014,1
265,2014-02-27,27,4,2,2,2014,1
266,2014-02-28,28,5,2,2,2014,1
267,2014-03-03,3,1,3,3,2014,1
268,2014-03-04,4,2,3,3,2014,1
269,2014-03-05,5,3,3,3,2014,1
270,2014-03-06,6,4,3,3,2014,1
271,2014-03-07,7,5,3,3,2014,1
272,2014-03-10,10,1,3,3,2014,1
273,2014-03-11,11,2,3,3,2014,1
274,2014-03-12,12,3,3,3,2014,1
275,2014-03-13,13,4,3,3,2014,1
276,2014-03-14,14,5,3,3,2014,1
277,2014-03-17,17,1,3,3,2014,1
278,2014-03-18,18,2,3,3,2014,1
279,2014-03-19,19,3,3,3,2014,1
280,2014-03-20,20,4,3,3,2014,1
281,2014-03-21,21,5,3,3,2014,1
282,2014-03-24,24,1,3,3,2014,1
283,2014-03-25,25,2,3,3,2014,1
284,2014-03-26,26,3,3,3,2014,1
285,2014-03-27,27,4,3,3,2014,1
286,2014-03-28,28,5,3,3,2014,1
287,2014-03-31,31,1,3,3,2014,1
288,2014-04-01,1,2,4,4,2014,2
289,2014-04-02,2,3,4,4,2014,2
290,2014-04-03,3,4,4,4,2014,2
291,2014-04-04,4,5,4,4,2014,2
292,2014-04-07,7,1,4,4,2014,2
293,2014-04-08,8,2,4,4,2014,2
294,2014-04-09,9,3,4,4,2014,2
295,2014-04-10,10,4,4,4,2014,2
296,2014-04-11,11,5,4,4,2014,2
297,2014-04-14,14,1,4,4,2014,2
298,2014-04-15,15,2,4,4,2014,2
299,2014-04-16,16,3,4,4,2014,2
300,2014-04-17,17,4,4,4,2014,2
301,2014-04-21,21,1,4,4,2014,2
302,2014-04-22,22,2,4,4,2014,2
303,2014-04-23,23,3,4,4,2014,2
304,2014-04-24,24,4,4,4,2014,2
305,2014-04-25,25,5,4,4,2014,2
306,2014-04-28,28,1,4,4,2014,2
307,2014-04-29,29,2,4,4,2014,2
308,2014-04-30,30,3,4,4,2014,2
309,2014-05-01,1,4,5,5,2014,2
310,2014-05-02,2,5,5,5,2014,2
311,2014-05-05,5,1,5,5,2014,2
312,2014-05-06,6,2,5,5,2014,2
313,2014-05-07,7,3,5,5,2014,2
314,2014-05-08,8,4,5,5,2014,2
315,2014-05-09,9,5,5,5,2014,2
316,2014-05-12,12,1,5,5,2014,2
317,2014-05-13,13,2,5,5,2014,2
318,2014-05-14,14,3,5,5,2014,2
319,2014-05-15,15,4,5,5,2014,2
320,2014-05-16,16,5,5,5,2014,2
321,2014-05-19,19,1,5,5,2014,2
322,2014-05-20,20,2,5,5,2014,2
323,2014-05-21,21,3,5,5,2014,2
324,2014-05-22,22,4,5,5,2014,2
325,2014-05-23,23,5,5,5,2014,2
326,2014-05-27,27,2,5,5,2014,2
327,2014-05-28,28,3,5,5,2014,2
328,2014-05-29,29,4,5,5,2014,2
329,2014-05-30,30,5,5,5,2014,2
330,2014-06-02,2,1,6,6,2014,2
331,2014-06-03,3,2,6,6,2014,2
332,2014-06-04,4,3,6,6,2014,2
333,2014-06-05,5,4,6,6,2014,2
334,2014-06-06,6,5,6,6,2014,2
335,2014-06-09,9,1,6,6,2014,2
336,2014-06-10,10,2,6,6,2014,2
337,2014-06-11,11,3,6,6,2014,2
338,2014-06-12,12,4,6,6,2014,2
339,2014-06-13,13,5,6,6,2014,2
340,2014-06-16,16,1,6,6,2014,2
341,2014-06-17,17,2,6,6,2014,2
342,2014-06-18,18,3,6,6,2014,2
343,2014-06-19,19,4,6,6,2014,2
344,2014-06-20,20,5,6,6,2014,2
345,2014-06-23,23,1,6,6,2014,2
346,2014-06-24,24,2,6,6,2014,2
347,2014-06-25,25,3,6,6,2014,2
348,2014-06-26,26,4,6,6,2014,2
349,2014-06-27,27,5,6,6,2014,2
350,2014-06-30,30,1,6,6,2014,2
351,2014-07-01,1,2,7,7,2014,3
352,2014-07-02,2,3,7,7,2014,3
353,2014-07-03,3,4,7,7,2014,3
354,2014-07-07,7,1,7,7,2014,3
355,2014-07-08,8,2,7,7,2014,3
356,2014-07-09,9,3,7,7,2014,3
357,2014-07-10,10,4,7,7,2014,3
358,2014-07-11,11,5,7,7,2014,3
359,2014-07-14,14,1,7,7,2014,3
360,2014-07-15,15,2,7,7,2014,3
361,2014-07-16,16,3,7,7,2014,3
362,2014-07-17,17,4,7,7,2014,3
